"","document","topic","gamma"
"1","1",1,0.602941176470588
"2","2",1,0.591549295774648
"3","3",1,0.329113924050633
"4","4",1,0.388888888888889
"5","5",1,0.63953488372093
"6","6",1,0.575757575757576
"7","7",1,0.686868686868687
"8","8",1,0.653846153846154
"9","9",1,0.705882352941177
"10","10",1,0.291666666666667
"11","11",1,0.325
"12","12",1,0.641975308641975
"13","13",1,0.460674157303371
"14","14",1,0.305882352941176
"15","15",1,0.602739726027397
"16","16",1,0.223021582733813
"17","17",1,0.784
"18","18",1,0.752475247524752
"19","19",1,0.623188405797101
"20","20",1,0.311827956989247
"21","21",1,0.403225806451613
"22","22",1,0.683544303797468
"23","23",1,0.297619047619048
"24","24",1,0.651685393258427
"25","25",1,0.235849056603774
"26","1",2,0.397058823529412
"27","2",2,0.408450704225352
"28","3",2,0.670886075949367
"29","4",2,0.611111111111111
"30","5",2,0.36046511627907
"31","6",2,0.424242424242424
"32","7",2,0.313131313131313
"33","8",2,0.346153846153846
"34","9",2,0.294117647058824
"35","10",2,0.708333333333333
"36","11",2,0.675
"37","12",2,0.358024691358025
"38","13",2,0.539325842696629
"39","14",2,0.694117647058824
"40","15",2,0.397260273972603
"41","16",2,0.776978417266187
"42","17",2,0.216
"43","18",2,0.247524752475248
"44","19",2,0.376811594202899
"45","20",2,0.688172043010753
"46","21",2,0.596774193548387
"47","22",2,0.316455696202532
"48","23",2,0.702380952380952
"49","24",2,0.348314606741573
"50","25",2,0.764150943396226
