"","topic","term","beta"
"1",1,"unable",0.000809226416609527
"2",2,"unable",0.000189552594730438
"3",3,"unable",0.00342733845131666
"4",4,"unable",0.00238105653915619
"5",5,"unable",5.15748376681984e-06
"6",6,"unable",4.90838499408539e-06
"7",7,"unable",6.06123055102647e-06
"8",8,"unable",0.000138821865104811
"9",9,"unable",5.57621854315714e-06
"10",10,"unable",6.07928604864644e-06
"11",11,"unable",5.92471305537452e-05
"12",12,"unable",4.67567201095977e-06
"13",13,"unable",6.00734097066616e-06
"14",14,"unable",6.57146800023657e-06
"15",15,"unable",5.52904684761394e-06
"16",16,"unable",6.32354716503883e-05
"17",17,"unable",5.4787615807323e-06
"18",18,"unable",5.98146940777471e-06
"19",19,"unable",6.63117980745465e-05
"20",20,"unable",6.60009372133084e-06
"21",1,"create",0.00012972331869313
"22",2,"create",0.0641482668166782
"23",3,"create",0.00526928617947149
"24",4,"create",0.00450588389693337
"25",5,"create",0.000881929724126193
"26",6,"create",4.90838499408539e-06
"27",7,"create",0.00340035033912585
"28",8,"create",7.27162150549008e-05
"29",9,"create",0.00981972085449973
"30",10,"create",6.07928604864644e-06
"31",11,"create",0.0122857004357357
"32",12,"create",5.14323921205575e-05
"33",13,"create",0.00721481650577005
"34",14,"create",0.0516583099498597
"35",15,"create",5.52904684761394e-06
"36",16,"create",6.32354716503883e-05
"37",17,"create",0.00290922239936885
"38",18,"create",0.000185425551641016
"39",19,"create",0.0237577087465262
"40",20,"create",0.000270603842574565
"41",1,"spring",0.157342030972987
"42",2,"spring",6.11459983001412e-06
"43",3,"spring",7.23622321775112e-05
"44",4,"spring",6.24949222875641e-06
"45",5,"spring",5.15748376681984e-06
"46",6,"spring",4.90838499408539e-06
"47",7,"spring",6.06123055102647e-06
"48",8,"spring",6.61056500499098e-06
"49",9,"spring",5.57621854315714e-06
"50",10,"spring",6.07928604864644e-06
"51",11,"spring",0.000166969186106009
"52",12,"spring",4.67567201095977e-06
"53",13,"spring",0.000246300979797312
"54",14,"spring",6.57146800023657e-06
"55",15,"spring",5.52904684761394e-06
"56",16,"spring",5.74867924094439e-06
"57",17,"spring",5.4787615807323e-06
"58",18,"spring",5.98146940777471e-06
"59",19,"spring",6.02834527950423e-06
"60",20,"spring",6.60009372133084e-06
"61",1,"boot",0.0730836468313535
"62",2,"boot",6.11459983001412e-06
"63",3,"boot",6.57838474341011e-06
"64",4,"boot",6.24949222875641e-06
"65",5,"boot",5.15748376681984e-06
"66",6,"boot",4.90838499408539e-06
"67",7,"boot",6.06123055102647e-06
"68",8,"boot",6.61056500499098e-06
"69",9,"boot",5.57621854315714e-06
"70",10,"boot",6.07928604864644e-06
"71",11,"boot",5.3861027776132e-06
"72",12,"boot",4.67567201095977e-06
"73",13,"boot",6.00734097066616e-06
"74",14,"boot",6.57146800023657e-06
"75",15,"boot",5.52904684761394e-06
"76",16,"boot",5.74867924094439e-06
"77",17,"boot",5.4787615807323e-06
"78",18,"boot",5.98146940777471e-06
"79",19,"boot",6.02834527950423e-06
"80",20,"boot",6.60009372133084e-06
"81",1,"project",6.17730089014906e-06
"82",2,"project",6.11459983001412e-06
"83",3,"project",6.57838474341011e-06
"84",4,"project",6.24949222875641e-06
"85",5,"project",5.15748376681984e-06
"86",6,"project",4.90838499408539e-06
"87",7,"project",6.06123055102647e-06
"88",8,"project",6.61056500499098e-06
"89",9,"project",0.000228624960269443
"90",10,"project",6.07928604864644e-06
"91",11,"project",5.3861027776132e-06
"92",12,"project",4.67567201095977e-06
"93",13,"project",6.00734097066616e-06
"94",14,"project",0.12999020851268
"95",15,"project",5.52904684761394e-06
"96",16,"project",6.32354716503883e-05
"97",17,"project",5.4787615807323e-06
"98",18,"project",5.98146940777471e-06
"99",19,"project",6.02834527950423e-06
"100",20,"project",6.60009372133084e-06
"101",1,"org",6.17730089014906e-06
"102",2,"org",6.11459983001412e-06
"103",3,"org",0.0133606994138659
"104",4,"org",6.24949222875641e-06
"105",5,"org",5.15748376681984e-06
"106",6,"org",4.90838499408539e-06
"107",7,"org",6.06123055102647e-06
"108",8,"org",6.61056500499098e-06
"109",9,"org",5.57621854315714e-06
"110",10,"org",6.07928604864644e-06
"111",11,"org",5.3861027776132e-06
"112",12,"org",4.67567201095977e-06
"113",13,"org",6.00734097066616e-06
"114",14,"org",6.57146800023657e-06
"115",15,"org",5.52904684761394e-06
"116",16,"org",5.74867924094439e-06
"117",17,"org",5.4787615807323e-06
"118",18,"org",5.98146940777471e-06
"119",19,"org",6.02834527950423e-06
"120",20,"org",6.60009372133084e-06
"121",1,"springframework",6.17730089014906e-06
"122",2,"springframework",6.11459983001412e-06
"123",3,"springframework",0.00697966621275812
"124",4,"springframework",6.24949222875641e-06
"125",5,"springframework",5.15748376681984e-06
"126",6,"springframework",4.90838499408539e-06
"127",7,"springframework",6.06123055102647e-06
"128",8,"springframework",6.61056500499098e-06
"129",9,"springframework",5.57621854315714e-06
"130",10,"springframework",6.07928604864644e-06
"131",11,"springframework",5.3861027776132e-06
"132",12,"springframework",4.67567201095977e-06
"133",13,"springframework",6.00734097066616e-06
"134",14,"springframework",6.57146800023657e-06
"135",15,"springframework",5.52904684761394e-06
"136",16,"springframework",5.74867924094439e-06
"137",17,"springframework",5.4787615807323e-06
"138",18,"springframework",5.98146940777471e-06
"139",19,"springframework",6.02834527950423e-06
"140",20,"springframework",6.60009372133084e-06
"141",1,"web",6.17730089014906e-06
"142",2,"web",6.11459983001412e-06
"143",3,"web",6.57838474341011e-06
"144",4,"web",6.24949222875641e-06
"145",5,"web",5.67323214350183e-05
"146",6,"web",4.90838499408539e-06
"147",7,"web",6.06123055102647e-06
"148",8,"web",6.61056500499098e-06
"149",9,"web",0.000172862774837872
"150",10,"web",6.07928604864644e-06
"151",11,"web",5.3861027776132e-06
"152",12,"web",4.67567201095977e-06
"153",13,"web",0.000847035076863928
"154",14,"web",6.57146800023657e-06
"155",15,"web",5.52904684761394e-06
"156",16,"web",5.74867924094439e-06
"157",17,"web",5.4787615807323e-06
"158",18,"web",5.98146940777471e-06
"159",19,"web",0.000307445609254716
"160",20,"web",0.0929359196900596
"161",1,"client",0.0268774361730386
"162",2,"client",6.11459983001412e-06
"163",3,"client",6.57838474341011e-06
"164",4,"client",6.24949222875641e-06
"165",5,"client",0.0153228842712218
"166",6,"client",4.90838499408539e-06
"167",7,"client",6.06123055102647e-06
"168",8,"client",6.61056500499098e-06
"169",9,"client",5.57621854315714e-06
"170",10,"client",6.07928604864644e-06
"171",11,"client",5.3861027776132e-06
"172",12,"client",4.67567201095977e-06
"173",13,"client",6.00734097066616e-06
"174",14,"client",6.57146800023657e-06
"175",15,"client",5.52904684761394e-06
"176",16,"client",5.74867924094439e-06
"177",17,"client",5.4787615807323e-06
"178",18,"client",0.132674972933851
"179",19,"client",6.63117980745465e-05
"180",20,"client",0.000204602905361256
"181",1,"exception",0.000315042345397602
"182",2,"exception",6.11459983001412e-06
"183",3,"exception",0.0310565543736391
"184",4,"exception",6.24949222875641e-06
"185",5,"exception",5.15748376681984e-06
"186",6,"exception",4.90838499408539e-06
"187",7,"exception",6.06123055102647e-06
"188",8,"exception",6.61056500499098e-06
"189",9,"exception",5.57621854315714e-06
"190",10,"exception",6.07928604864644e-06
"191",11,"exception",5.3861027776132e-06
"192",12,"exception",4.67567201095977e-06
"193",13,"exception",6.00734097066616e-06
"194",14,"exception",6.57146800023657e-06
"195",15,"exception",5.52904684761394e-06
"196",16,"exception",5.74867924094439e-06
"197",17,"exception",5.4787615807323e-06
"198",18,"exception",5.98146940777471e-06
"199",19,"exception",6.02834527950423e-06
"200",20,"exception",7.26010309346392e-05
"201",1,"occur",6.17730089014906e-06
"202",2,"occur",0.000128406596430297
"203",3,"occur",6.57838474341011e-06
"204",4,"occur",6.87444145163205e-05
"205",5,"occur",5.15748376681984e-06
"206",6,"occur",0.000446663034461771
"207",7,"occur",6.06123055102647e-06
"208",8,"occur",6.61056500499098e-06
"209",9,"occur",0.00162267959605873
"210",10,"occur",6.68721465351109e-05
"211",11,"occur",5.92471305537452e-05
"212",12,"occur",9.81891122301552e-05
"213",13,"occur",6.00734097066616e-06
"214",14,"occur",6.57146800023657e-06
"215",15,"occur",5.52904684761394e-06
"216",16,"occur",5.74867924094439e-06
"217",17,"occur",5.4787615807323e-06
"218",18,"occur",0.000663943104262993
"219",19,"occur",0.0031407678906217
"220",20,"occur",0.000270603842574565
"221",1,"follow",0.0118665950099763
"222",2,"follow",0.0130913582360602
"223",3,"follow",0.0222415188174696
"224",4,"follow",0.00506833819752145
"225",5,"follow",5.67323214350183e-05
"226",6,"follow",4.90838499408539e-06
"227",7,"follow",6.06123055102647e-06
"228",8,"follow",0.0048323230186484
"229",9,"follow",0.000284387145701014
"230",10,"follow",6.07928604864644e-06
"231",11,"follow",0.00135191179718091
"232",12,"follow",4.67567201095977e-06
"233",13,"follow",6.00734097066616e-06
"234",14,"follow",6.57146800023657e-06
"235",15,"follow",0.000116109983799893
"236",16,"follow",0.00219024679079981
"237",17,"follow",5.4787615807323e-06
"238",18,"follow",5.98146940777471e-06
"239",19,"follow",0.0187541821645377
"240",20,"follow",0.00231663289618713
"241",1,"guide",0.00235355163914679
"242",2,"guide",0.000801012577731851
"243",3,"guide",0.000401281469348016
"244",4,"guide",0.00181860223856812
"245",5,"guide",5.15748376681984e-06
"246",6,"guide",0.000250327634698355
"247",7,"guide",0.000127285841571556
"248",8,"guide",0.000733772715553998
"249",9,"guide",6.13384039747285e-05
"250",10,"guide",6.68721465351109e-05
"251",11,"guide",5.3861027776132e-06
"252",12,"guide",4.67567201095977e-06
"253",13,"guide",6.60807506773278e-05
"254",14,"guide",0.000138000828004968
"255",15,"guide",5.52904684761394e-06
"256",16,"guide",6.32354716503883e-05
"257",17,"guide",5.4787615807323e-06
"258",18,"guide",5.98146940777471e-06
"259",19,"guide",6.02834527950423e-06
"260",20,"guide",6.60009372133084e-06
"261",1,"springboot",0.00778957642247796
"262",2,"springboot",6.11459983001412e-06
"263",3,"springboot",6.57838474341011e-06
"264",4,"springboot",6.24949222875641e-06
"265",5,"springboot",5.15748376681984e-06
"266",6,"springboot",4.90838499408539e-06
"267",7,"springboot",6.06123055102647e-06
"268",8,"springboot",6.61056500499098e-06
"269",9,"springboot",6.13384039747285e-05
"270",10,"springboot",6.07928604864644e-06
"271",11,"springboot",5.3861027776132e-06
"272",12,"springboot",4.67567201095977e-06
"273",13,"springboot",6.00734097066616e-06
"274",14,"springboot",6.57146800023657e-06
"275",15,"springboot",5.52904684761394e-06
"276",16,"springboot",5.74867924094439e-06
"277",17,"springboot",5.4787615807323e-06
"278",18,"springboot",5.98146940777471e-06
"279",19,"springboot",6.02834527950423e-06
"280",20,"springboot",7.26010309346392e-05
"281",1,"error",6.17730089014906e-06
"282",2,"error",6.11459983001412e-06
"283",3,"error",0.0760527060185642
"284",4,"error",6.24949222875641e-06
"285",5,"error",5.15748376681984e-06
"286",6,"error",4.90838499408539e-06
"287",7,"error",6.06123055102647e-06
"288",8,"error",6.61056500499098e-06
"289",9,"error",5.57621854315714e-06
"290",10,"error",6.07928604864644e-06
"291",11,"error",5.3861027776132e-06
"292",12,"error",4.67567201095977e-06
"293",13,"error",6.00734097066616e-06
"294",14,"error",6.57146800023657e-06
"295",15,"error",5.52904684761394e-06
"296",16,"error",5.74867924094439e-06
"297",17,"error",5.4787615807323e-06
"298",18,"error",5.98146940777471e-06
"299",19,"error",6.02834527950423e-06
"300",20,"error",7.26010309346392e-05
"301",1,"tool",6.17730089014906e-06
"302",2,"tool",6.11459983001412e-06
"303",3,"tool",6.57838474341011e-06
"304",4,"tool",0.00163111747170542
"305",5,"tool",5.15748376681984e-06
"306",6,"tool",4.90838499408539e-06
"307",7,"tool",6.06123055102647e-06
"308",8,"tool",6.61056500499098e-06
"309",9,"tool",0.0001171005894063
"310",10,"tool",0.0117391013599363
"311",11,"tool",5.92471305537452e-05
"312",12,"tool",0.000472242873106937
"313",13,"tool",0.00889687197755658
"314",14,"tool",0.00263515866809487
"315",15,"tool",5.52904684761394e-06
"316",16,"tool",0.00270762792248481
"317",17,"tool",5.4787615807323e-06
"318",18,"tool",5.98146940777471e-06
"319",19,"tool",6.02834527950423e-06
"320",20,"tool",0.000336604779787873
"321",1,"docker",6.17730089014906e-06
"322",2,"docker",6.11459983001412e-06
"323",3,"docker",6.57838474341011e-06
"324",4,"docker",0.117934167848862
"325",5,"docker",5.15748376681984e-06
"326",6,"docker",4.90838499408539e-06
"327",7,"docker",6.06123055102647e-06
"328",8,"docker",6.61056500499098e-06
"329",9,"docker",5.57621854315714e-06
"330",10,"docker",6.07928604864644e-06
"331",11,"docker",5.3861027776132e-06
"332",12,"docker",4.67567201095977e-06
"333",13,"docker",6.00734097066616e-06
"334",14,"docker",6.57146800023657e-06
"335",15,"docker",5.52904684761394e-06
"336",16,"docker",5.74867924094439e-06
"337",17,"docker",5.4787615807323e-06
"338",18,"docker",5.98146940777471e-06
"339",19,"docker",6.02834527950423e-06
"340",20,"docker",6.60009372133084e-06
"341",1,"window",6.17730089014906e-06
"342",2,"window",6.11459983001412e-06
"343",3,"window",6.57838474341011e-06
"344",4,"window",0.0120052745714411
"345",5,"window",5.15748376681984e-06
"346",6,"window",4.90838499408539e-06
"347",7,"window",6.06123055102647e-06
"348",8,"window",6.61056500499098e-06
"349",9,"window",5.57621854315714e-06
"350",10,"window",6.07928604864644e-06
"351",11,"window",5.3861027776132e-06
"352",12,"window",4.67567201095977e-06
"353",13,"window",6.00734097066616e-06
"354",14,"window",6.57146800023657e-06
"355",15,"window",5.52904684761394e-06
"356",16,"window",5.74867924094439e-06
"357",17,"window",5.4787615807323e-06
"358",18,"window",5.98146940777471e-06
"359",19,"window",6.02834527950423e-06
"360",20,"window",6.60009372133084e-06
"361",1,"build",0.000685680398806545
"362",2,"build",6.11459983001412e-06
"363",3,"build",6.57838474341011e-06
"364",4,"build",0.0121927593383038
"365",5,"build",5.15748376681984e-06
"366",6,"build",4.90838499408539e-06
"367",7,"build",0.0048550456713722
"368",8,"build",6.61056500499098e-06
"369",9,"build",6.13384039747285e-05
"370",10,"build",0.0265117664581472
"371",11,"build",5.3861027776132e-06
"372",12,"build",0.00683115680801223
"373",13,"build",6.00734097066616e-06
"374",14,"build",0.0355582133492801
"375",15,"build",5.52904684761394e-06
"376",16,"build",5.74867924094439e-06
"377",17,"build",5.4787615807323e-06
"378",18,"build",5.98146940777471e-06
"379",19,"build",0.000247162156459674
"380",20,"build",0.0162428306481952
"381",1,"vm",6.17730089014906e-06
"382",2,"vm",6.11459983001412e-06
"383",3,"vm",0.000138146079611612
"384",4,"vm",0.00606825695412248
"385",5,"vm",5.15748376681984e-06
"386",6,"vm",4.90838499408539e-06
"387",7,"vm",6.06123055102647e-06
"388",8,"vm",6.61056500499098e-06
"389",9,"vm",5.57621854315714e-06
"390",10,"vm",6.07928604864644e-06
"391",11,"vm",5.3861027776132e-06
"392",12,"vm",4.67567201095977e-06
"393",13,"vm",0.00054666802833062
"394",14,"vm",6.57146800023657e-06
"395",15,"vm",5.52904684761394e-06
"396",16,"vm",5.74867924094439e-06
"397",17,"vm",5.4787615807323e-06
"398",18,"vm",5.98146940777471e-06
"399",19,"vm",6.02834527950423e-06
"400",20,"vm",6.60009372133084e-06
"401",1,"late",6.17730089014906e-06
"402",2,"late",6.11459983001412e-06
"403",3,"late",0.000138146079611612
"404",4,"late",6.24949222875641e-06
"405",5,"late",5.15748376681984e-06
"406",6,"late",0.00118292078357458
"407",7,"late",6.06123055102647e-06
"408",8,"late",6.61056500499098e-06
"409",9,"late",6.13384039747285e-05
"410",10,"late",0.00596377961372216
"411",11,"late",5.3861027776132e-06
"412",12,"late",4.67567201095977e-06
"413",13,"late",6.00734097066616e-06
"414",14,"late",6.57146800023657e-06
"415",15,"late",5.52904684761394e-06
"416",16,"late",5.74867924094439e-06
"417",17,"late",5.4787615807323e-06
"418",18,"late",5.98146940777471e-06
"419",19,"late",6.02834527950423e-06
"420",20,"late",6.60009372133084e-06
"421",1,"version",6.17730089014906e-06
"422",2,"version",6.11459983001412e-06
"423",3,"version",6.57838474341011e-06
"424",4,"version",6.24949222875641e-06
"425",5,"version",5.15748376681984e-06
"426",6,"version",4.90838499408539e-06
"427",7,"version",6.06123055102647e-06
"428",8,"version",6.61056500499098e-06
"429",9,"version",5.57621854315714e-06
"430",10,"version",0.06772932586797
"431",11,"version",5.3861027776132e-06
"432",12,"version",4.67567201095977e-06
"433",13,"version",6.00734097066616e-06
"434",14,"version",6.57146800023657e-06
"435",15,"version",5.52904684761394e-06
"436",16,"version",5.74867924094439e-06
"437",17,"version",6.02663773880552e-05
"438",18,"version",5.98146940777471e-06
"439",19,"version",6.02834527950423e-06
"440",20,"version",6.60009372133084e-06
"441",1,"problem",6.17730089014906e-06
"442",2,"problem",0.00563154644344301
"443",3,"problem",6.57838474341011e-06
"444",4,"problem",0.000131239336803885
"445",5,"problem",5.15748376681984e-06
"446",6,"problem",0.00314627478120874
"447",7,"problem",6.66735360612912e-05
"448",8,"problem",6.61056500499098e-06
"449",9,"problem",5.57621854315714e-06
"450",10,"problem",6.07928604864644e-06
"451",11,"problem",5.3861027776132e-06
"452",12,"problem",4.67567201095977e-06
"453",13,"problem",6.00734097066616e-06
"454",14,"problem",6.57146800023657e-06
"455",15,"problem",5.52904684761394e-06
"456",16,"problem",0.000408156226107052
"457",17,"problem",0.000115053993195378
"458",18,"problem",5.98146940777471e-06
"459",19,"problem",0.0929028291024397
"460",20,"problem",6.60009372133084e-06
"461",1,"hand",0.000191496327594621
"462",2,"hand",6.72605981301554e-05
"463",3,"hand",6.57838474341011e-06
"464",4,"hand",6.87444145163205e-05
"465",5,"hand",5.15748376681984e-06
"466",6,"hand",0.000152159934816647
"467",7,"hand",6.06123055102647e-06
"468",8,"hand",6.61056500499098e-06
"469",9,"hand",5.57621854315714e-06
"470",10,"hand",0.00146510793772379
"471",11,"hand",0.00162121693606157
"472",12,"hand",4.67567201095977e-06
"473",13,"hand",0.000246300979797312
"474",14,"hand",6.57146800023657e-06
"475",15,"hand",0.0011113384163704
"476",16,"hand",0.00368490339344536
"477",17,"hand",5.4787615807323e-06
"478",18,"hand",5.98146940777471e-06
"479",19,"hand",6.02834527950423e-06
"480",20,"hand",6.60009372133084e-06
"481",1,"container",6.17730089014906e-06
"482",2,"container",6.11459983001412e-06
"483",3,"container",6.57838474341011e-06
"484",4,"container",0.0973733384162537
"485",5,"container",5.15748376681984e-06
"486",6,"container",4.90838499408539e-06
"487",7,"container",6.06123055102647e-06
"488",8,"container",6.61056500499098e-06
"489",9,"container",5.57621854315714e-06
"490",10,"container",6.07928604864644e-06
"491",11,"container",5.3861027776132e-06
"492",12,"container",4.67567201095977e-06
"493",13,"container",6.00734097066616e-06
"494",14,"container",6.57146800023657e-06
"495",15,"container",5.52904684761394e-06
"496",16,"container",5.74867924094439e-06
"497",17,"container",5.4787615807323e-06
"498",18,"container",5.98146940777471e-06
"499",19,"container",6.02834527950423e-06
"500",20,"container",6.60009372133084e-06
"501",1,"image",6.17730089014906e-06
"502",2,"image",6.11459983001412e-06
"503",3,"image",6.57838474341011e-06
"504",4,"image",0.0370032434864667
"505",5,"image",5.15748376681984e-06
"506",6,"image",4.90838499408539e-06
"507",7,"image",6.06123055102647e-06
"508",8,"image",6.61056500499098e-06
"509",9,"image",5.57621854315714e-06
"510",10,"image",6.07928604864644e-06
"511",11,"image",5.3861027776132e-06
"512",12,"image",4.67567201095977e-06
"513",13,"image",6.00734097066616e-06
"514",14,"image",6.57146800023657e-06
"515",15,"image",5.52904684761394e-06
"516",16,"image",6.32354716503883e-05
"517",17,"image",5.4787615807323e-06
"518",18,"image",5.98146940777471e-06
"519",19,"image",0.000126595250869589
"520",20,"image",7.26010309346392e-05
"521",1,"connect",0.00012972331869313
"522",2,"connect",6.11459983001412e-06
"523",3,"connect",6.57838474341011e-06
"524",4,"connect",0.0208170586139876
"525",5,"connect",0.00284177355551773
"526",6,"connect",4.90838499408539e-06
"527",7,"connect",6.66735360612912e-05
"528",8,"connect",0.000138821865104811
"529",9,"connect",0.00201301489407973
"530",10,"connect",6.07928604864644e-06
"531",11,"connect",5.3861027776132e-06
"532",12,"connect",4.67567201095977e-06
"533",13,"connect",6.00734097066616e-06
"534",14,"connect",6.57146800023657e-06
"535",15,"connect",5.52904684761394e-06
"536",16,"connect",5.74867924094439e-06
"537",17,"connect",5.4787615807323e-06
"538",18,"connect",0.00700430067650419
"539",19,"connect",6.02834527950423e-06
"540",20,"connect",0.00284464039389359
"541",1,"update",6.17730089014906e-06
"542",2,"update",0.00031184459133072
"543",3,"update",6.57838474341011e-06
"544",4,"update",6.87444145163205e-05
"545",5,"update",5.15748376681984e-06
"546",6,"update",0.0282281221009851
"547",7,"update",6.06123055102647e-06
"548",8,"update",6.61056500499098e-06
"549",9,"update",5.57621854315714e-06
"550",10,"update",0.0172104588037181
"551",11,"update",5.3861027776132e-06
"552",12,"update",4.67567201095977e-06
"553",13,"update",0.000186227570090651
"554",14,"update",6.57146800023657e-06
"555",15,"update",5.52904684761394e-06
"556",16,"update",5.74867924094439e-06
"557",17,"update",0.0216465870054733
"558",18,"update",5.98146940777471e-06
"559",19,"update",0.000126595250869589
"560",20,"update",6.60009372133084e-06
"561",1,"solve",6.17730089014906e-06
"562",2,"solve",6.11459983001412e-06
"563",3,"solve",6.57838474341011e-06
"564",4,"solve",6.24949222875641e-06
"565",5,"solve",5.15748376681984e-06
"566",6,"solve",4.90838499408539e-06
"567",7,"solve",6.06123055102647e-06
"568",8,"solve",6.61056500499098e-06
"569",9,"solve",5.57621854315714e-06
"570",10,"solve",6.07928604864644e-06
"571",11,"solve",5.3861027776132e-06
"572",12,"solve",4.67567201095977e-06
"573",13,"solve",6.00734097066616e-06
"574",14,"solve",6.57146800023657e-06
"575",15,"solve",0.000779595605513566
"576",16,"solve",5.74867924094439e-06
"577",17,"solve",5.4787615807323e-06
"578",18,"solve",6.57961634855218e-05
"579",19,"solve",0.0287612353285147
"580",20,"solve",6.60009372133084e-06
"581",1,"integration",6.17730089014906e-06
"582",2,"integration",6.11459983001412e-06
"583",3,"integration",6.57838474341011e-06
"584",4,"integration",6.24949222875641e-06
"585",5,"integration",5.15748376681984e-06
"586",6,"integration",4.90838499408539e-06
"587",7,"integration",0.000127285841571556
"588",8,"integration",6.61056500499098e-06
"589",9,"integration",5.57621854315714e-06
"590",10,"integration",0.0235937091547969
"591",11,"integration",5.3861027776132e-06
"592",12,"integration",4.67567201095977e-06
"593",13,"integration",6.00734097066616e-06
"594",14,"integration",6.57146800023657e-06
"595",15,"integration",5.52904684761394e-06
"596",16,"integration",0.000120722264059832
"597",17,"integration",5.4787615807323e-06
"598",18,"integration",5.98146940777471e-06
"599",19,"integration",6.02834527950423e-06
"600",20,"integration",7.26010309346392e-05
"601",1,"integrate",6.17730089014906e-06
"602",2,"integrate",0.00129018056413298
"603",3,"integrate",6.57838474341011e-06
"604",4,"integrate",6.24949222875641e-06
"605",5,"integrate",5.67323214350183e-05
"606",6,"integrate",4.90838499408539e-06
"607",7,"integrate",6.06123055102647e-06
"608",8,"integrate",6.61056500499098e-06
"609",9,"integrate",5.57621854315714e-06
"610",10,"integrate",6.07928604864644e-06
"611",11,"integrate",0.000166969186106009
"612",12,"integrate",4.67567201095977e-06
"613",13,"integrate",6.00734097066616e-06
"614",14,"integrate",6.57146800023657e-06
"615",15,"integrate",0.000116109983799893
"616",16,"integrate",0.00724908452283088
"617",17,"integrate",5.4787615807323e-06
"618",18,"integrate",5.98146940777471e-06
"619",19,"integrate",6.02834527950423e-06
"620",20,"integrate",0.00198662821012058
"621",1,"dependency",0.000253269336496112
"622",2,"dependency",6.11459983001412e-06
"623",3,"dependency",6.57838474341011e-06
"624",4,"dependency",6.24949222875641e-06
"625",5,"dependency",5.15748376681984e-06
"626",6,"dependency",0.000348495334580063
"627",7,"dependency",6.06123055102647e-06
"628",8,"dependency",6.61056500499098e-06
"629",9,"dependency",5.57621854315714e-06
"630",10,"dependency",0.0076051868468567
"631",11,"dependency",5.92471305537452e-05
"632",12,"dependency",4.67567201095977e-06
"633",13,"dependency",6.00734097066616e-06
"634",14,"dependency",0.0232695681888377
"635",15,"dependency",0.0205735833199715
"636",16,"dependency",5.74867924094439e-06
"637",17,"dependency",5.4787615807323e-06
"638",18,"dependency",6.57961634855218e-05
"639",19,"dependency",6.63117980745465e-05
"640",20,"dependency",6.60009372133084e-06
"641",1,"find",0.0119283680188778
"642",2,"find",0.000556428584531286
"643",3,"find",6.57838474341011e-06
"644",4,"find",6.24949222875641e-06
"645",5,"find",5.15748376681984e-06
"646",6,"find",4.90838499408539e-06
"647",7,"find",6.06123055102647e-06
"648",8,"find",0.00027103316520463
"649",9,"find",6.13384039747285e-05
"650",10,"find",0.000249250727994504
"651",11,"find",0.000328552269434406
"652",12,"find",9.81891122301552e-05
