"","document","topic","gamma"
"1","41896367",1,0.118556701030928
"2","41973895",1,0.0384615384615385
"3","49989235",1,0.021551724137931
"4","49990423",1,0.0833333333333333
"5","50130559",1,0.0352112676056338
"6","50147952",1,0.0263157894736842
"7","40514713",1,0.0328947368421053
"8","49274995",1,0.0189393939393939
"9","49309381",1,0.0304878048780488
"10","42763897",1,0.0445544554455446
"11","42787013",1,0.0352112676056338
"12","42590244",1,0.10625
"13","42624750",1,0.0198412698412698
"14","42763068",1,0.0290697674418605
"15","51829748",1,0.03515625
"16","51721941",1,0.0569620253164557
"17","51830025",1,0.0357142857142857
"18","51869425",1,0.0396825396825397
"19","51859137",1,0.0639344262295082
"20","51841748",1,0.0225225225225225
"21","51821941",1,0.0426829268292683
"22","51850765",1,0.106060606060606
"23","51873270",1,0.0873015873015873
"24","51814233",1,0.0878378378378378
"25","45020092",1,0.0337837837837838
"26","44987508",1,0.0233644859813084
"27","44962992",1,0.0390625
"28","44910623",1,0.133802816901408
"29","44902486",1,0.0316455696202532
"30","48762098",1,0.0403225806451613
"31","48637698",1,0.0390625
"32","48790489",1,0.0737704918032787
"33","48755237",1,0.0357142857142857
"34","48683443",1,0.036231884057971
"35","48622378",1,0.0352112676056338
"36","48710301",1,0.0274725274725275
"37","42840954",1,0.0253623188405797
"38","42816953",1,0.0357142857142857
"39","46642612",1,0.0955882352941176
"40","46621005",1,0.0208333333333333
"41","46711037",1,0.0373134328358209
"42","36418827",1,0.110576923076923
"43","55538732",1,0.1
"44","55601069",1,0.0284090909090909
"45","55523287",1,0.156976744186047
"46","55618629",1,0.0290697674418605
"47","55615179",1,0.198863636363636
"48","55483597",1,0.036231884057971
"49","55608263",1,0.151685393258427
"50","55466184",1,0.0297619047619048
"51","55605837",1,0.0186567164179104
"52","55521820",1,0.0242718446601942
"53","55625531",1,0.035
"54","55490309",1,0.0416666666666667
"55","55496711",1,0.0546875
"56","55535453",1,0.0486111111111111
"57","55499237",1,0.0542168674698795
"58","55487111",1,0.0360824742268041
"59","55609321",1,0.0233644859813084
"60","55038527",1,0.0347222222222222
"61","55199108",1,0.0833333333333333
"62","55086956",1,0.0691489361702128
"63","55192687",1,0.194117647058824
"64","55026430",1,0.166666666666667
"65","55086920",1,0.0542168674698795
"66","55154289",1,0.0368421052631579
"67","55025518",1,0.0352112676056338
"68","55048194",1,0.104166666666667
"69","55137973",1,0.274436090225564
"70","55159405",1,0.0903614457831325
"71","55032126",1,0.0367647058823529
"72","55073537",1,0.0523809523809524
"73","55109473",1,0.252380952380952
"74","55066619",1,0.032051282051282
"75","40363307",1,0.0337837837837838
"76","40306001",1,0.0265957446808511
"77","40484873",1,0.152439024390244
"78","40268981",1,0.0255102040816327
"79","30621142",1,0.0301204819277108
"80","44761730",1,0.0882352941176471
"81","44800240",1,0.114035087719298
"82","37955191",1,0.0416666666666667
"83","41225744",1,0.0397727272727273
"84","41394317",1,0.0633802816901408
"85","36141075",1,0.168367346938776
"86","52611821",1,0.0808823529411765
"87","52668454",1,0.0384615384615385
"88","52635758",1,0.0219298245614035
"89","52550448",1,0.0378787878787879
"90","52535015",1,0.123015873015873
"91","52599936",1,0.0523255813953488
"92","52642825",1,0.0411764705882353
"93","52681730",1,0.0737704918032787
"94","52668730",1,0.0324074074074074
"95","52726464",1,0.0479452054794521
"96","52664475",1,0.0642857142857143
"97","52595489",1,0.036231884057971
"98","52534983",1,0.0277777777777778
"99","52682938",1,0.0576923076923077
"100","52696134",1,0.0494505494505494
"101","52570149",1,0.055
"102","52651358",1,0.0447154471544715
"103","52661686",1,0.0789473684210526
"104","51646028",1,0.0486111111111111
"105","51500475",1,0.0367647058823529
"106","51538711",1,0.0304878048780488
"107","51579041",1,0.025
"108","51619543",1,0.0403225806451613
"109","51669792",1,0.0785714285714286
"110","51608934",1,0.046875
"111","51589212",1,0.03125
"112","46359918",1,0.0912408759124088
"113","46296177",1,0.0560344827586207
"114","54341521",1,0.156779661016949
"115","54220683",1,0.08125
"116","54329900",1,0.0402298850574713
"117","54340571",1,0.0260416666666667
"118","54368598",1,0.0474860335195531
"119","54263212",1,0.0447154471544715
"120","54317364",1,0.0316455696202532
"121","54345398",1,0.082089552238806
"122","54232979",1,0.0794392523364486
"123","54322468",1,0.0328947368421053
"124","54299572",1,0.0390070921985816
"125","54306886",1,0.195
"126","54263821",1,0.0271317829457364
"127","34174551",1,0.0652173913043478
"128","37558498",1,0.0316455696202532
"129","37625716",1,0.0238095238095238
"130","52114953",1,0.0347222222222222
"131","52119111",1,0.128048780487805
"132","52277115",1,0.170886075949367
"133","52286165",1,0.0608108108108108
"134","52156522",1,0.0432098765432099
"135","52103823",1,0.0528455284552846
"136","52204526",1,0.131944444444444
"137","49742964",1,0.0308641975308642
"138","49915703",1,0.0333333333333333
"139","49943333",1,0.0347222222222222
"140","51058390",1,0.0301204819277108
"141","51207209",1,0.0290697674418605
"142","51240888",1,0.0403225806451613
"143","51219230",1,0.0277777777777778
"144","51229203",1,0.15234375
"145","51124531",1,0.0714285714285714
"146","51113737",1,0.0324675324675325
"147","51237901",1,0.0564516129032258
"148","51063424",1,0.0388888888888889
