"","topic","term","beta"
"1",1,"unable",4.8601977467771e-06
"2",2,"unable",0.000268181827238685
"3",3,"unable",0.00027617161597313
"4",4,"unable",0.00161543739459002
"5",5,"unable",7.47268407368436e-05
"6",6,"unable",0.000497606391118173
"7",7,"unable",1.48618724246396e-05
"8",8,"unable",1.39381844541269e-05
"9",9,"unable",0.00113147150541948
"10",10,"unable",6.10866203109255e-05
"11",11,"unable",9.02988409216573e-06
"12",12,"unable",1.038051743018e-05
"13",13,"unable",7.72844535762875e-06
"14",14,"unable",1.27062003533435e-05
"15",15,"unable",2.24354843161556e-05
"16",16,"unable",0.00113222716712062
"17",17,"unable",7.64723815871896e-06
"18",18,"unable",0.000818898482894117
"19",19,"unable",0.00155776920987335
"20",20,"unable",0.00314153312752354
"21",21,"unable",5.24675067494919e-06
"22",22,"unable",1.18097339703061e-05
"23",23,"unable",0.00054122035817159
"24",24,"unable",1.42224772334581e-05
"25",25,"unable",6.72439742469321e-06
"26",26,"unable",0.000167267764799305
"27",27,"unable",6.03081645408543e-05
"28",28,"unable",9.9786976162956e-06
"29",29,"unable",1.35508774837099e-05
"30",30,"unable",0.00531597700760823
"31",31,"unable",9.86987035304054e-06
"32",1,"create",0.00240439898237452
"33",2,"create",0.00284726744081696
"34",3,"create",0.00243391854176734
"35",4,"create",0.00550228048163308
"36",5,"create",0.0027856717496448
"37",6,"create",0.00159049604264925
"38",7,"create",0.00389713029085438
"39",8,"create",0.000632904705022207
"40",9,"create",0.0014785256090514
"41",10,"create",0.00149672135205047
"42",11,"create",0.00335854969025506
"43",12,"create",0.0011763830337291
"44",13,"create",0.00438863414133522
"45",14,"create",0.00651825292579537
"46",15,"create",0.00304019467893737
"47",16,"create",0.00308237099023925
"48",17,"create",0.00428259113049968
"49",18,"create",0.000852483551386273
"50",19,"create",0.00308208065127675
"51",20,"create",0.00670878548703169
"52",21,"create",0.00221187072906715
"53",22,"create",0.000536256082667513
"54",23,"create",0.00249033611209199
"55",24,"create",0.0035437037556867
"56",25,"create",0.00466163427511112
"57",26,"create",0.000825738314994687
"58",27,"create",0.00293874189404202
"59",28,"create",0.00358111527200586
"60",29,"create",0.00443830825275548
"61",30,"create",0.00748977815760246
"62",31,"create",0.00150524953888024
"63",1,"spring",0.00208699967223857
"64",2,"spring",0.000813059069543955
"65",3,"spring",6.45325024885483e-06
"66",4,"spring",0.041257166889668
"67",5,"spring",2.3576936795184e-05
"68",6,"spring",6.04505305057421e-05
"69",7,"spring",1.48618724246396e-05
"70",8,"spring",0.0017980181555033
"71",9,"spring",1.02197859932769e-05
"72",10,"spring",0.000291813630769066
"73",11,"spring",9.02988409216573e-06
"74",12,"spring",1.038051743018e-05
"75",13,"spring",0.00150167785320252
"76",14,"spring",0.000377813414536314
"77",15,"spring",3.86599961151944e-05
"78",16,"spring",0.000117083807141054
"79",17,"spring",7.64723815871896e-06
"80",18,"spring",0.00192720574313527
"81",19,"spring",0.000614147841385531
"82",20,"spring",8.75381180164409e-06
"83",21,"spring",0.000416418920561694
"84",22,"spring",0.0178738353748928
"85",23,"spring",1.26465943965651e-05
"86",24,"spring",0.0733159757655309
"87",25,"spring",6.72439742469321e-06
"88",26,"spring",7.63854050951541e-06
"89",27,"spring",0.000191146061336362
"90",28,"spring",9.9786976162956e-06
"91",29,"spring",1.35508774837099e-05
"92",30,"spring",0.00540655205552466
"93",31,"spring",9.86987035304054e-06
"94",1,"boot",0.00050000312155885
"95",2,"boot",1.39057808295589e-05
"96",3,"boot",6.45325024885483e-06
"97",4,"boot",0.0338701300279055
"98",5,"boot",6.52696881463085e-06
"99",6,"boot",6.04505305057421e-05
"100",7,"boot",1.48618724246396e-05
"101",8,"boot",0.00128828102091782
"102",9,"boot",1.02197859932769e-05
"103",10,"boot",0.000112359289301623
"104",11,"boot",5.62062193902347e-05
"105",12,"boot",1.038051743018e-05
"106",13,"boot",0.00222846405161355
"107",14,"boot",4.58977652790681e-05
"108",15,"boot",6.21097251711676e-06
"109",16,"boot",6.36552092473931e-05
"110",17,"boot",7.64723815871896e-06
"111",18,"boot",0.00138984464726077
"112",19,"boot",9.26234876513325e-06
"113",20,"boot",0.000260290837151577
"114",21,"boot",5.24675067494919e-06
"115",22,"boot",0.00855720023921304
"116",23,"boot",4.56824546325041e-05
"117",24,"boot",0.0435940281575035
"118",25,"boot",6.72439742469321e-06
"119",26,"boot",4.75458465819628e-05
"120",27,"boot",1.66955322756851e-05
"121",28,"boot",9.9786976162956e-06
"122",29,"boot",1.35508774837099e-05
"123",30,"boot",0.00196470023470046
"124",31,"boot",9.86987035304054e-06
"125",1,"project",4.8601977467771e-06
"126",2,"project",0.000122881229290613
"127",3,"project",0.000208742024542062
"128",4,"project",0.00676397823763659
"129",5,"project",6.52696881463085e-06
"130",6,"project",1.6734944444499e-05
"131",7,"project",0.000403088714267614
"132",8,"project",0.00281749242467425
"133",9,"project",0.000410666828645491
"134",10,"project",8.67229548062744e-05
"135",11,"project",0.000197735225284442
"136",12,"project",0.00220680386208629
"137",13,"project",0.0269593833031
"138",14,"project",4.58977652790681e-05
"139",15,"project",0.00967602000474425
"140",16,"project",0.000410941095556191
"141",17,"project",0.001106347771237
