"","document","topic","gamma"
"1","20693516",1,2.98109012598388e-05
"2","22513893",1,8.81349059267378e-06
"3","22987482",1,1.40581409300649e-05
"4","24787801",1,0.372551140199205
"5","25595492",1,1.17156664433539e-05
"6","25600580",1,1.14432714402765e-05
"7","25812816",1,2.73280172762266e-05
"8","25824957",1,1.41253857597146e-05
"9","25965275",1,2.52269227192552e-05
"10","26218391",1,1.92624012723517e-06
"11","26247474",1,5.45788823123407e-06
"12","26331854",1,3.59867618715903e-05
"13","26491425",1,4.04198992991511e-05
"14","26529567",1,1.67730071201764e-05
"15","26611387",1,1.34193060246031e-05
"16","26616962",1,3.78308405219803e-05
"17","26705784",1,2.34258438992422e-05
"18","26706240",1,0.000418333254946757
"19","26800452",1,1.39915333138036e-05
"20","26854986",1,1.10576284942746e-05
"21","26866479",1,9.80883907797434e-06
"22","26975640",1,2.78433531102555e-05
"23","27007353",1,5.34913760144306e-06
"24","27054162",1,1.31211774805435e-05
"25","27116051",1,1.37312972044872e-05
"26","27347820",1,2.45965598990317e-05
"27","27470721",1,2.75712142160556e-06
"28","27489124",1,5.95300058743341e-06
"29","27723156",1,1.88020981746175e-05
"30","27752201",1,1.34805648740464e-05
"31","27790905",1,0.999828970559173
"32","27838280",1,8.02327722602562e-06
"33","27839789",1,9.0290722205591e-06
"34","27857790",1,7.09764588390093e-06
"35","27865238",1,1.92934666196253e-05
"36","27865814",1,7.79044794264014e-06
"37","27891019",1,0.999894545997127
"38","28112290",1,1.24569795830374e-05
"39","28114758",1,2.81083788291118e-05
"40","28264162",1,1.49855574687976e-05
"41","28319278",1,1.6131623681795e-05
"42","28329738",1,7.95840930007783e-06
"43","28339882",1,6.65010612558079e-06
"44","28387907",1,5.30112529917673e-06
"45","28500066",1,1.48349935365782e-05
"46","28565187",1,3.31582194319433e-05
"47","28572202",1,0.457177920521288
"48","28581644",1,2.61194446468667e-05
"49","28607400",1,8.76119417570865e-06
"50","28635179",1,7.08062756071589e-06
"51","28664781",1,1.40581409300649e-05
"52","28727632",1,9.90756621331181e-06
"53","28767707",1,2.98269062650748e-06
"54","28828573",1,6.86659147432676e-06
"55","28844069",1,1.09347928249775e-05
"56","28930710",1,5.55021067755699e-06
"57","28942614",1,2.32414741758066e-05
"58","28953200",1,1.86831420193693e-05
"59","28997963",1,9.61717225558854e-06
"60","29071226",1,5.03880935875444e-06
"61","29117570",1,1.13117693418013e-05
"62","29128437",1,0.999810484578397
"63","29148547",1,8.78726457581902e-06
"64","29303048",1,7.08062756071589e-06
"65","29315097",1,6.28227413661389e-06
"66","29387250",1,1.13990989978803e-05
"67","29434226",1,1.70637692514893e-05
"68","29460485",1,4.59932747722829e-06
"69","29479454",1,6.32262625477568e-06
"70","29591967",1,2.02181217940449e-05
"71","29610354",1,3.01149109150135e-05
"72","29636094",1,1.02515083960669e-05
"73","29636899",1,5.68921747708644e-06
"74","29644916",1,6.86659147432676e-06
"75","29669180",1,3.82488857430034e-06
"76","29689630",1,6.00139315703905e-06
"77","29704842",1,1.20013458181847e-05
"78","29731394",1,3.93428834433801e-05
"79","29761872",1,6.53242050965535e-06
"80","29775643",1,1.47608404665926e-05
"81","29787063",1,1.34193060246031e-05
"82","29821391",1,4.77020702439129e-06
"83","29825744",1,2.65898149968279e-05
"84","29830038",1,2.65898149968279e-05
"85","29831699",1,0.980095619073342
"86","29888108",1,1.70637692514893e-05
"87","29924248",1,2.3803500214688e-05
"88","29960156",1,1.6868820539052e-05
"89","30000824",1,5.09972139329319e-06
"90","30027545",1,4.64271333015327e-06
"91","30053782",1,1.4331036300463e-05
"92","30116581",1,1.30631343415768e-05
"93","30159795",1,1.60439799460729e-05
"94","30173267",1,5.94102414226434e-06
"95","30209442",1,6.81902342579075e-06
"96","30213456",1,5.67827791674428e-06
"97","30237292",1,3.51305362242865e-05
"98","30267737",1,1.63098155227416e-05
"99","30273152",1,1.37954444410177e-05
"100","30286443",1,0.283356045715069
"101","30288968",1,5.04742183858149e-06
"102","30296587",1,6.40490586004583e-06
"103","30422184",1,5.85851958629019e-06
"104","30449278",1,0.00264590176995094
"105","30496218",1,2.36131621451161e-05
"106","30583466",1,6.41882778095951e-06
"107","30597881",1,1.30056024628855e-05
"108","30613574",1,8.27045215918411e-06
"109","30621142",1,1.37312972044872e-05
"110","30621628",1,6.11320668626707e-06
"111","30648096",1,8.81349059267378e-06
"112","30648139",1,7.1491952618775e-06
"113","30649582",1,8.60796351935451e-06
"114","30670403",1,1.24569795830374e-05
"115","30681058",1,5.44781942392883e-06
"116","30708162",1,2.36131621451161e-05
"117","30732982",1,8.68390294733944e-06
"118","30739851",1,1.41253857597146e-05
"119","30772774",1,3.64546244001292e-06
"120","30800908",1,0.99901667225254
"121","30887937",1,1.35423855790643e-05
"122","30908112",1,6.96374668843412e-06
"123","30908725",1,7.11474621143085e-06
"124","30910817",1,6.60548043710655e-06
"125","30915043",1,2.09347762818787e-05
"126","30991404",1,5.00014704001099e-05
"127","30995669",1,6.47512599610501e-06
"128","31031865",1,2.48142296261382e-06
"129","31044380",1,1.76766220654589e-05
"130","31046924",1,3.55534947297997e-05
"131","31047564",1,1.054434686712e-05
"132","31088764",1,2.52269227192552e-05
"133","31095177",1,1.12257675952163e-05
"134","31097306",1,1.52172223661831e-05
"135","31104540",1,7.79044794264014e-06
"136","31135664",1,2.15457472358616e-05
"137","31141688",1,1.41932769907216e-05
"138","31161436",1,2.89346174386809e-05
"139","31165181",1,8.43583329510552e-06
"140","31190685",1,3.13955918259069e-05
"141","31201083",1,0.999252485214576
"142","31206417",1,8.41180362535155e-06
"143","31229758",1,5.38817819384679e-06
"144","31295897",1,2.75832784103392e-05
"145","31313170",1,4.55674499280255e-06
"146","31317470",1,4.69437619511521e-06
"147","31342583",1,4.93770611282349e-06
"148","31404820",1,1.77830698677081e-05
"149","31412249",1,2.39969317268449e-05
"150","31449013",1,9.64859485824087e-06
"151","31468806",1,8.04513549921085e-06
"152","31493493",1,8.34052904528797e-06
"153","31510697",1,1.14877875581086e-05
"154","31517036",1,1.51392089567882e-05
"155","31525237",1,8.06711319724045e-06
"156","31546631",1,1.16693702688307e-05
"157","31573823",1,0.719159878204004
"158","31605799",1,9.31384794019458e-06
"159","31608784",1,1.32388250437819e-05
"160","31717615",1,3.88256159011464e-05
"161","31764926",1,6.06300163165824e-06
"162","31786040",1,0.0515968198784873
"163","31801057",1,3.31582194319433e-05
"164","31842622",1,1.10576284942746e-05
"165","31845342",1,4.09808266669485e-05
"166","31912285",1,7.38150980618281e-06
"167","31941887",1,0.306655470694421
"168","31962345",1,1.05821322263805e-05
"169","31973473",1,0.409282496654212
"170","32071088",1,4.47030255149618e-05
"171","32093067",1,7.43728118028032e-06
"172","32106454",1,0.390044469517527
"173","32167881",1,1.57027258766752e-05
"174","32217639",1,6.28227413661389e-06
"175","32248896",1,1.2509750188584e-05
"176","32334161",1,5.62420516245147e-06
